Account No,Organisation,City,Country,Region,Access,C40,Reporting year,Risks to city's water supply,​Adaptation action,Action description,City Location,Country Location
57509,Prefeitura Niterói,Niterói,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Efficiency regulations or standards,O município possui legislação que institui obrigatoriedade no armazenamento de águas pluviais para reaproveitamento e retardo e estimula de instalação de coleta de águas servidas em edificações públicas e privadas.,"(-22.892857, -43.118381)","(-14.235004, -51.92528)"
59535,"Town of Vail, CO","Vail, CO",USA,North America,Public,,2017,Increased water stress or scarcity,Water use restrictions,,"(39.6403, -106.3742)","(37.09024, -95.712891)"
58795,Blantyre City Council,Blantyre ,Malawi,Africa,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,Community meetings,"(-15.802859, 35.037784)","(-13.254308, 34.301525)"
54641,Prefeitura de Limeira,Limeira,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,Recuperação de Mata Ciliar e Nascentes; Monitoramento das bacias hidrográficas e bacias subterrâneas.,"(-22.566535, -47.397437)","(-14.235004, -51.92528)"
50550,City of Buffalo,Buffalo,USA,North America,Public,,2017,Declining water quality,Other,"- Efficiency Regulations or Standards
- Federal/State enhanced regulations for urban and rural source runoff control","(42.8864, -78.8784)","(37.09024, -95.712891)"
50665,Município de Ovar,Ovar,Portugal,Europe,Public,,2017,Declining water quality,Conservation awareness and education,Environmental Education Activities,"(40.89008, -8.59723)","(39.399872, -8.224454)"
50550,City of Buffalo,Buffalo,USA,North America,Public,,2017,Inadequate or aging infrastructure,Other,"- Investment in existing water supply infrastructure
- Acceptable funding must keep pace with proper Asset Management","(42.8864, -78.8784)","(37.09024, -95.712891)"
59298,City of Yaoundé 6,Yaoundé 6,Cameroon,Africa,Public,,2017,Increased water stress or scarcity,Investment in existing water supply infrastructure,"Promotion des extensions du réseau d'eau potable, et de la distribution par bornes fontaine","(3.861811, 11.519078)","(7.369722, 12.354722)"
60142,City of Kisumu,Kisumu,Kenya,Africa,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,repair and replacement of distribution lines,"(-0.091702, 34.767957)","(-0.023559, 37.906193)"
50550,City of Buffalo,Buffalo,USA,North America,Public,,2017,Regulatory,Other,"- Efficiency Regulations or Standards
- Effective use of Integrated Planning for Water
 Utilities","(42.8864, -78.8784)","(37.09024, -95.712891)"
59988,Mandaue City Government,Mandaue,Philippines,South Asia and Oceania,Public,,2017,Declining water quality,Other,"1. Moratorium on the issuance of applications for deep wells and exceptions shall be issued by the National Water resources Board; 2. rainwater storage and infiltration system for all buildings; 3. permeable or porous pavements and landscape areas for all developments; 4. convert areas as teporary storage for storm water for areas with elevation lower than the road pavement, such as car parks, school playgrounds, playing fields, industrial areas in private lands, and government facilities such as parks, wetlands and reservoirs; 5. conservation of natural lands such as mountains, water basins and mangroves; 6. use of green roof.","(10.3403, 123.9416)","(12.879721, 121.774017)"
59298,City of Yaoundé 6,Yaoundé 6,Cameroon,Africa,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),"Curage des drains, construction des caniveaux et des drains, pré-collecte des déchets solides, sensibilisation de la population,financement des opérations d'assainissement","(3.861811, 11.519078)","(7.369722, 12.354722)"
36002,Ville de Kinshasa,Ville de Kinshasa,Democratic Republic of Congo,Africa,Public,,2017,Increased water stress or scarcity,Use of non-potable water outside,"Description :-Les projec-tions réalisées montrent en général que la RDC et la ville de Kinshasa en particu-lier ne présente pas une vulnérabilité en ressources en eau à l’horizon 2100 et ce, autant plus qu’elle est traversée par plusieurs et même par le fleuve Congo ; qu’elle déverse des milliers de mètres cube d’eaux douces par jour dans l’océan Atlantique. Mais malheureusement, il y a une vulnérabilité liée aux crises hydrométriques, im-putables aux changements climatiques. Des fortes pluies intenses et des crues extrêmes des rivières qui causent plus des pertes en vie humaines, provoquent des érosions ; détruisent des infrastructures et en-gloutissent des maisons. D’où, il y a un problème de pénuries d’accès à l’eau potable par la majorité de la population de la ville et la qualité de l’eau est affectée.","(-4.441931, 15.266293)","(-4.038333, 21.758664)"
